Gene_name,ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,IR132H_AP_N5_R3,IR132H_AP_N5_R7,IR132H_AP_N5_R8,IR132H_AP_N5_R11,IR132H_AP_N5_R14,Adi_6_IR132H_AP_N6_R2,Adi_7_IR132H_AP_N6_R3,Adi_13_IR132H_AP_N6_R1,Adi_21_IR132H_AP_N6_R5,Adi_24_IR132H_AP_N6_R8,Adi_25_IR132H_AP_N6_R4,Adi_26_IR132H_AP_N6_R3,Adi_27_IR132H_AP_N6_R4,Adi_11_IR132H_AP_N6_R6,Adi_23_IR132H_AP_N6_R8,Adi_4_IR132H_AP_N6_R5,Adi_5_IR132H_AP_N6_R12,Adi_8_IR132H_AP_N6_R8,Adi_12_IR132H_AP_N6_R4,Adi_14_IR132H_AP_N6_R2,Adi_20_IR132H_AP_N6_R4,Adi_1_IWT_AP_R2,Adi_2_IWT_AP_R1,Adi_3_IWT_AP_R2,Adi_19_IWT_AP_R2,Adi10_Iwt_AP-4&5,Adi13_IR132H_AP-8&9-R11,Adi18_IR132H_AP-8&9-401-R1,Adi20_IR132H_AP-14&15-R1,Adi21_IR132H_AP-14&15-R2,Adi22_IR132H_AP-14&15-R3,Adi26_Iwt_AP-4&5-R2,Adi28_Iwt_AP-4&5-R6,IAP10112H,IAP13R3
Gng3,ENSMUSG00000071658,863.0598793186547,-2.396042672655745,0.47066504456128266,8.343204487008776e-9,1.182641865711509e-7,1123.3018083847878,737.1303426847616,474.5928179303133,428.2547187526426,1056.0061791311052,275.9724726725259,357.2672910264196,148.34287236918956,233.93305124816075,775.1342628633461,801.5643728309319,466.02506115835484,170.19307762082744,330.6196529805416,1782.5145765445234,296.03440814290894,1709.373454585346,48.47138067574202,33.0637885657994,510.44588578490436,846.0998808375689,1890.3119909520349,1421.5268759073786,3302.8594722085563,2802.065942385047,1382.1244053840185,34.42846325349615,333.9065654056648,199.9319315171771,335.7185928399519,188.52695040056108,2296.73554145664,3246.5957318738538,124.08524601217538,43.93670976565637
A930001A20Rik,ENSMUSG00000098008,1.2111513997143546,-2.3964546326889398,0.5913674191013496,8.600451828865192e-7,5.767742409277133e-6,0.5205291049049063,0.498397797623233,0.7126018287241941,0.5134948666098832,0,0,0,0,0,0,1.1418295909272533,1.1621572597465208,0,1.360574703623628,1.0014126834519794,0,1.4045796668737436,0,0,1.2419607926640008,0,3.0036737144364962,4.098981764438808,6.127754122835912,5.871274892373068,1.3759327081971315,0,0,0,2.3697783023996606,0,4.911052476386258,3.869601587453938,1.2047111263317998,0
Hecw1,ENSMUSG00000021301,336.7669075291122,-2.396475272120604,0.5357208361753589,1.531919624383317e-7,1.33544996158211e-6,195.19841433933985,116.12668684621329,114.72889442459525,94.99655032282838,108.07739146757581,85.73902063612455,122.87516656689,43.535408195305635,69.26509338632692,183.3344518782179,272.89727223161356,112.72925419541252,59.197592215939984,112.92770040076113,1042.4706034735107,79.1023114875789,793.5875117836651,14.321089745105596,11.808495916356927,172.63255018029614,216.18894490921022,962.1768131911575,436.1316597362892,1413.9792638443864,835.188853440069,638.432776603469,14.208572136363488,162.91409037937677,115.64690156385734,156.40536795837758,14.1667650590017,671.1771717727886,2265.0067958563714,40.96017829528119,38.706149079268705
Napb,ENSMUSG00000027438,3295.917913188915,-2.3969493120930947,0.41526520434319403,2.0488981997117938e-10,5.8848366072629074e-9,3843.586910617828,1584.904996441881,1483.6370074037723,1705.316452011422,3002.149762988217,936.4308660101727,1233.9144877935591,1309.2870909106732,527.9829760014354,3414.0104665819435,2053.0096044872016,1227.238066292326,566.0769755649261,1338.80550836565,6128.645622726114,895.2943436548703,7815.081266485509,387.77104540593615,481.78663338736266,2413.1298201461536,2989.3334311303993,6003.342530587077,5860.724126794607,17251.1597943138,10773.78942750458,5917.198611601764,342.64518190384257,1180.7905558901937,924.1951540230294,1335.7650364526087,600.4528882699951,5750.023941102244,12817.41032484326,672.2288084931442,590.0072454245284
Agbl4,ENSMUSG00000061298,63.13359284573476,-2.398102931902995,0.506193610806101,4.630803070399034e-8,4.88211997816182e-7,60.381376168969126,55.820553333802096,27.078869491519377,25.67474333049416,37.52687203735271,14.736394171833906,17.553595223841427,9.674535154512364,7.841331326753991,54.145408067660206,90.20453768325302,38.35118957163519,8.632982198157913,17.687471147107164,149.21048983434494,20.37483780740669,157.31292268985928,3.3048668642551373,8.26594714144985,31.049019816600023,42.79882665715329,112.13715200562919,99.19535869941915,329.36678410243024,170.266971878819,118.33021290495331,1.092967087412576,33.65993602879686,15.680935805268792,10.26903931039853,10.89751158384746,148.1500830376521,268.29237673013967,8.432977884322598,6.276672823665195
Trpc5,ENSMUSG00000041710,39.003818698763865,-2.399058192673825,0.5087650092168962,5.118477340167958e-8,5.2879432794826e-7,43.20391570710722,32.89425464313338,7.1260182872419415,7.702422999148248,22.516123222411625,8.038033184636676,6.195386549591092,1.6124225257520606,1.3068885544589985,18.048469355886734,51.382331591726405,30.21608875340954,7.399699026992498,4.081724110870884,67.09464979128262,13.183718581263152,91.29767834679333,7.711356016595321,5.9042479581784635,9.935686341312007,17.558492987550068,109.13347829119269,58.20554105503107,179.2368080929504,68.98747998538356,90.81155874101067,1.639450631118864,12.117576970366867,7.840467902634396,15.798522015997737,17.436018534155938,167.79429294319715,159.9435322814294,14.456533515981597,7.3227849609427285
Gm45627,ENSMUSG00000109846,1.4135618004236048,-2.3993946173699183,0.7510430271576461,1.3391702347970503e-5,6.326298014000039e-5,0,0.498397797623233,1.4252036574483882,1.0269897332197664,0.7505374407470542,0,0,0,0,0.9499194397835123,1.1418295909272533,0,0,0,0,0,0,1.101622288085046,0,1.2419607926640008,0,18.022042286618976,3.279185411551046,4.595815592126933,0,2.063899062295697,0,0,0,3.159704403199547,1.0897511583847461,6.548069968515011,2.5797343916359585,0,0
Tnmd,ENSMUSG00000031250,3.1252862696295196,-2.401182307294103,0.5935111475480824,8.704061504470507e-7,5.8242439908562866e-6,0,2.491988988116165,2.8504073148967763,1.5404845998296495,0.7505374407470542,0,1.0325644249318486,0,0,1.8998388795670247,2.2836591818545067,1.1621572597465208,2.4665663423308324,6.80287351811814,2.002825366903959,2.3970397420478458,5.618318667494974,1.101622288085046,0,0,1.0974058117218792,3.0036737144364962,3.279185411551046,4.595815592126933,7.339093615466336,11.695428019675617,0.546483543706288,1.3463974411518742,0.9800584878292995,0,0,20.46271865160941,20.637875133087668,0,0
Rapgefl1,ENSMUSG00000038020,669.7219914672221,-2.4037187878852757,0.4986957738827689,3.09228178728411e-8,3.477281684461407e-7,929.1444522552578,359.8432098839742,393.35620945575516,406.6879343550275,1323.9480454778036,136.6465641388235,169.34056568882318,191.8782805644952,66.65131627740892,832.1294292503568,234.07506614008696,238.24223824803676,51.797893188947484,195.92275732180244,1079.5228727612339,146.2194242649186,1376.4880735362688,27.540557202126145,41.32973570724925,351.47490432391226,564.066587225046,1163.4229520584029,841.9308544157311,3076.1325696636272,2063.7531246691337,1466.7442669381421,46.45110121503448,320.4425909941461,213.6527503467873,301.75177050555675,132.94964132293902,1222.033557874114,3323.9877636229326,87.94391222222139,62.76672823665196
Galnt9,ENSMUSG00000033316,397.70228387894326,-2.404782439803175,0.574782118272343,5.020595322197324e-7,3.6444430914691977e-6,896.8716477511535,208.8286772041346,379.81677470999546,176.12873924718994,866.1202066221006,136.6465641388235,25.814110623296216,22.573915360528847,117.61996990130987,174.78517692016626,160.99797232074275,110.40493967591948,62.89744172943623,167.35068854570625,1198.6909820920193,104.27122877908128,1040.793533153444,25.337312625956052,15.351044691264006,192.50392286292015,208.50710422715707,882.0788474728511,157.40089975445022,1668.2810599420768,779.4117419625248,760.2028212789152,18.580440486013792,185.80284687895863,45.08269044014778,43.44593554399378,78.46208340370173,567.2265610226128,2373.3556403050816,31.322489284626794,36.61392480471364
