Gene_name,ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,IR132H_AP_N5_R3,IR132H_AP_N5_R7,IR132H_AP_N5_R8,IR132H_AP_N5_R11,IR132H_AP_N5_R14,Adi_6_IR132H_AP_N6_R2,Adi_7_IR132H_AP_N6_R3,Adi_13_IR132H_AP_N6_R1,Adi_21_IR132H_AP_N6_R5,Adi_24_IR132H_AP_N6_R8,Adi_25_IR132H_AP_N6_R4,Adi_26_IR132H_AP_N6_R3,Adi_27_IR132H_AP_N6_R4,Adi_11_IR132H_AP_N6_R6,Adi_23_IR132H_AP_N6_R8,Adi_4_IR132H_AP_N6_R5,Adi_5_IR132H_AP_N6_R12,Adi_8_IR132H_AP_N6_R8,Adi_12_IR132H_AP_N6_R4,Adi_14_IR132H_AP_N6_R2,Adi_20_IR132H_AP_N6_R4,Adi13_IR132H_AP-8&9-R11,Adi18_IR132H_AP-8&9-401-R1,Adi20_IR132H_AP-14&15-R1,Adi21_IR132H_AP-14&15-R2,Adi22_IR132H_AP-14&15-R3,IAP10112H,IAP13R3
Medag,ENSMUSG00000029659,48.30687934129544,1.016510329764932,0.4929026953490677,8.856323965943888e-4,0.005778953279662109,145.1124235133037,28.360393966763574,60.56133102091654,53.96973240991882,127.77618683132755,16.185967406316404,19.865770048890205,15.49788961279342,21.400022975326273,36.42285917317281,63.48214632805517,14.031952805642039,19.95186646878599,31.767394121700377,179.1469972258202,12.097779078558117,138.71935841080074,27.204766282051068,20.461921069910897,129.3453272539875,60.64854003527759,13.436668703852192,22.939667023137535,17.960349834718183,9.577985737504841,39.01413058715903,15.862912553034045,11.790281077547556
Ccdc60,ENSMUSG00000043913,11.466558062685234,1.0153308737466826,0.6850971893741706,0.0038888047002074363,0.01819635119966287,11.28652182881251,13.673761376832438,3.5624312365245023,13.363933739598945,17.597917946829543,4.046491851579101,18.820203204211772,2.4470352020200137,10.700011487663136,10.543459234339497,77.33279643599448,36.24921141457527,9.975933234392995,6.905955243847908,1.0355317758717932,2.4195558157116235,2.8899866335583484,2.267063856837589,1.2036424158771117,2.48741013949976,11.231211117643998,0.5598611959938413,5.397568711326478,15.964755408638386,15.963309562508067,13.37627334416881,9.761792340328643,0
Ncs1,ENSMUSG00000062661,1877.4193803087169,1.0151290081041655,0.23781321437463424,3.6275781422453733e-7,9.439617885784688e-6,4326.500034378129,2637.010203302463,1971.4494462926596,1973.7502138484597,3310.7039546057144,1455.3882359512834,1744.0054969236244,846.6741798989248,1241.2013325689238,1780.8861143093443,1821.3604891940192,1502.5882796041685,1071.1658310429477,1428.1515444277475,4706.4919213373,1388.825038218472,3999.7415008447542,779.8699667521306,635.5231955831149,1508.6142496066043,2597.7791315110567,693.1081606403756,1814.9324791835284,1578.5151910291204,2467.129492885622,1073.445935869547,1292.217261051004,920.7137677830319
Gm33027,ENSMUSG00000108713,2.885554610417881,1.0147069304340337,0.6884068498222622,0.003959628738561388,0.01843932966582123,0.5374534204196434,2.5321780327467476,0.7124862473049005,0,0.7651268672534584,1.3488306171930335,3.1367005340352954,5.7097488047133655,1.337501435957892,5.750977764185181,3.4626625269848272,5.84664700235085,0,4.143573146308745,10.35531775871793,2.4195558157116235,11.559946534233394,0,0,1.24370506974988,5.615605558821999,0,5.397568711326478,2.9933916391196975,1.5963309562508068,1.1146894453474008,0,3.2155312029675156
Cadps,ENSMUSG00000054423,919.9807590380672,1.0134475543116335,0.37598943390384065,1.3188976997803955e-4,0.0012821596250026561,1790.7947968382516,1194.6815958499155,776.6100095623415,706.232498392652,1332.8510027555244,338.55648491545145,702.6209196239062,984.5238296127188,706.200758185767,1511.5486556866715,2202.25336716235,950.6648025822482,256.8802807856196,486.1792491668927,2949.1944976828668,722.2374109899197,2736.817341979756,231.24051339743409,309.3361008804177,779.8030787331747,1217.4632851526094,245.77906504129635,761.0571882970335,310.3149332554086,334.43133533454403,384.5678586448533,480.76827276118564,355.8521197950717
Habp4,ENSMUSG00000021476,1061.3437380669773,1.0133905356183632,0.2152653486304836,4.862536680603227e-8,1.8075447878992966e-6,2137.4522530089216,1697.0657175468702,1303.137346320663,1273.685684874084,1862.3187948949176,743.2056700733615,964.0126307935142,641.9389013299169,660.7257093631987,1185.6599157161781,1281.1851349843862,900.3836383620309,476.3508119422655,955.7842057485504,2583.651780800124,792.4045296455567,2673.2376360414723,460.21396293803053,536.8245174811918,853.1816778484176,1542.045286452521,299.5257398567051,850.1170720339203,664.5329438845728,813.330622209786,527.2481076493206,606.4513491429169,431.9530249319696
B3gnt2,ENSMUSG00000051650,4.689032071217259,1.0133542031599705,0.47446952551532323,7.193738382338666e-4,0.004910498428999888,8.061801306294651,5.064356065493495,6.412376225744104,5.6539719667534,6.121014938027667,5.395322468772134,5.2278342233921595,1.631356801346676,1.337501435957892,3.833985176123454,8.079545896297931,4.67731760188068,1.2469916542991244,8.28714629261749,6.2131906552307585,3.6293337235674352,5.779973267116697,1.1335319284187946,3.6109272476313348,2.48741013949976,4.492484447057599,3.359167175963048,6.746960889158098,12.971363769518689,3.990827390627017,1.1146894453474008,3.6606721276232412,1.0718437343225051
Ydjc,ENSMUSG00000041774,55.33732627029445,1.011288524445646,0.29067889338315744,8.713504193559124e-6,1.3918266966318993e-4,123.61428669651796,74.95246976930373,56.99889978439204,56.539719667534,113.23877635351184,49.90673283614225,42.8682406318157,48.94070404040028,14.712515795536813,64.21925170006784,71.5616922243531,36.24921141457527,19.95186646878599,70.44074348724867,105.6242411389229,44.761782590665035,130.04939851012568,20.4035747115383,25.276490733419344,43.529677441245795,96.58841561173838,11.757085115870668,47.22872622410669,38.91409130855607,55.87158346877824,28.98192557903242,21.964032765739447,34.298999498320164
Cys1,ENSMUSG00000062563,37.54777170667557,1.0106697498643336,0.3322323232499257,4.163992012492932e-5,4.963496975246988e-4,35.47192574769646,40.51484852394796,58.42387227900184,46.77376808859631,74.21730612358546,16.185967406316404,48.09607485520787,38.336884831646884,30.76253302703152,46.966318407512304,70.40747138202482,26.89457621081391,17.45788316018774,31.767394121700377,88.02020094910242,19.356446525692988,109.81949207521724,7.934723498931561,16.850993822279563,17.411870976498317,56.15605558821999,25.7536150157167,24.289059200969152,26.940524752077277,32.724784603141536,21.179099461600615,9.761792340328643,12.862124811870062
H2-Bl,ENSMUSG00000073406,2.163577486006059,1.0097430043283222,0.844928610280187,0.006168816957145319,0.026182713016211095,1.0749068408392868,3.038613639296097,4.987403731134304,0,2.295380601760375,0,0,0,1.337501435957892,3.833985176123454,5.771104211641379,1.16932940047017,1.2469916542991244,2.762382097539163,14.497444862205104,0,7.224966583895871,1.1335319284187946,0,1.24370506974988,3.3693633352931993,0.5598611959938413,2.698784355663239,0,0,1.1146894453474008,1.2202240425410804,0
A730036I17Rik,ENSMUSG00000056738,4.489511189937834,1.0081616321328082,0.6016256486293895,0.002492142944014878,0.01293865168612126,2.1498136816785736,2.5321780327467476,3.5624312365245023,2.569987257615182,2.295380601760375,6.744153085965168,7.318967912749023,4.07839200336669,0,6.709474058216044,12.696429265611034,2.33865880094034,1.2469916542991244,16.57429258523498,16.568508413948692,1.2097779078558117,5.779973267116697,1.1335319284187946,1.2036424158771117,6.2185253487494,4.492484447057599,0,4.048176533494859,3.9911888521595964,0.7981654781254034,3.3440683360422025,6.101120212705402,0
Ids,ENSMUSG00000035847,2782.3052072337205,1.0080460874955064,0.18556333464498864,1.1707373720791862e-9,7.991402030503271e-8,3482.160710898869,2309.8528014715835,1816.1274443801913,1896.1365986684812,2172.9603029998216,2036.7342319614809,3400.1833788942604,2082.426956919032,1463.226570937934,3668.165317256114,3842.40118411083,2573.694010434844,1314.329203631277,3379.774496339166,6093.068969229631,2461.898042486577,7775.509037588737,1985.947938589728,1533.4404378274403,2621.7302870327467,3873.644714475415,1275.3638044739705,2875.554730959181,2936.517197976423,3290.8362663110383,1859.3019948394647,1862.0618889176885,2021.4972829322446
Klf16,ENSMUSG00000035397,348.84064664445555,1.0071044546042955,0.16864560909588985,5.3602059059900394e-11,7.103265456160133e-9,464.35975524257185,399.0712579608874,324.18124252372974,392.18005551207676,426.94079192742976,217.16172936807843,551.0137271455336,172.92382094274765,220.6877369330522,499.37656919007986,311.63962742863447,225.6805742907428,159.61493175028792,388.11468470425245,389.35994772779424,203.24268851977638,582.3323066620072,201.76868325854542,222.67384693726567,312.1699725072199,517.7588325233883,221.70503361356117,323.8541226795887,512.8677675025082,705.5782826628566,373.42096419137926,280.6515297844485,167.2076225543108
Cyld,ENSMUSG00000036712,1037.5072335213802,1.0065411761571643,0.18870816463797707,1.971710376810595e-9,1.2163413324531567e-7,854.0134850468132,1188.097932964774,626.9878976283125,1022.3409310793194,959.4690915358368,763.4381293312571,2218.6928444076325,613.3901573063501,469.4630040212201,1049.5534419637954,1243.095847187553,1074.6137190320862,539.9473863115209,1870.1326800340134,1376.2217301336132,863.7814262090496,1556.2578021711706,711.858051047003,784.77485515187675,771.0971432449255,1593.7088575936834,348.2336639081693,1167.224233824351,1301.1275658040286,1710.4686196227394,571.8356854632166,1028.6488678621308,771.7274887122037
Satb2,ENSMUSG00000038331,150.96277850046437,1.0064309601169108,0.5140276242257001,0.001186587993128782,0.007282353069322095,333.2211206601789,94.70345842472837,248.65770030941027,218.96291434881348,172.9186719992816,89.02282073474022,115.0123529146275,35.889849629626866,109.67511774854715,163.90286627927765,64.63636717038345,68.99043462774003,107.24128226972469,120.1636212429536,707.2682029204348,21.776002341404613,744.1715581412748,57.81012834935852,27.68377556517357,166.6564793464839,104.45026339408918,44.788895679507306,87.71049155905527,61.863427208473745,36.715611993768555,84.71639784640246,97.61792340328643,40.730061904255194
Gm14455,ENSMUSG00000087633,3.0315223955614274,1.0062635184508013,0.6463457289669101,0.003326883503897652,0.01612224267757896,1.61236026125893,5.570791672042845,1.424972494609801,2.0559898060921453,5.355888070774209,0,9.410101602105886,1.631356801346676,0,4.792481470154317,2.3084416846565516,4.67731760188068,0,1.3811910487695815,8.284254206974346,0,5.779973267116697,2.267063856837589,2.4072848317542235,0,5.615605558821999,1.679583587981524,5.397568711326478,2.9933916391196975,2.3944964343762103,1.1146894453474008,2.440448085082161,4.2873749372900205
Kazn,ENSMUSG00000040606,643.0626092026461,1.0054837603949642,0.2549417803715909,1.3799125164049599e-6,2.9308381325880094e-5,566.4759051223041,767.2499439222646,725.3109997563887,810.5739810518284,559.3077399622781,612.3691002056373,930.5544917638043,435.57226595956246,432.01296381439914,641.2340207066476,908.371802912353,530.8755478134572,432.70610404179615,1406.0524876474342,873.9888188357934,249.21424901829724,721.051665072808,341.19311045405715,199.80464103560053,620.6088298051901,1083.8118728526458,128.20821388258966,657.15399060399875,949.9029468139839,866.8077092441881,452.56391481104475,827.3119008428524,275.4638397208838
